"","score","text"
"52",0,"#Supino Feminino no 41¬∞ Campeonato Brasileiro de Powerlifting Equipado Ì†ΩÌ±∏Ì†ºÌøãÔ∏è
#powerlifting @‚Ä¶ https://t.co/yao2QHnTIW"
"53",0,"Powerlifting 101 - On Amazon! https://t.co/x4cBaC0Gsf #powerlifting #rawpowerlifting #crossfit #crossfitter #bodybuilder #powerlifter"
"54",1,"#aboutgains #gains #bodybuilding #fitness #weightlifting #weighttraining #powerlifting #life #gym #kickboxing‚Ä¶ https://t.co/Y9MGeE3YVb"
"55",-1,"Bench Press Shoulder Pain and How to Beat It
https://t.co/lzWFydwT25
#bodybuilding #powerlifting"
"56",1,"RT intpowerlifters: Free 2-Day Online Course! https://t.co/bt6la6z1um | #powerlifting #powerlifter #weightlifting‚Ä¶ https://t.co/dif5hJqvId"
"57",1,"RT @intpowerlifters: Free 2-Day Online Course! https://t.co/eyScxWJXpW | #powerlifting #powerlifter #weightlifting #weightlifter #bodybuild‚Ä¶"
"58",1,"Free 2-Day Online Course! https://t.co/eyScxWJXpW | #powerlifting #powerlifter #weightlifting #weightlifter‚Ä¶ https://t.co/eD0egKWiXE"
"59",0,"A lot of this next week @SJSchumaker @TeamBSSfitness @USStrongmanInc https://t.co/3q1eN0mQIQ #deadlift‚Ä¶ https://t.co/LsFo1VgKP7"
"60",0,"#tbt 4yrs ago from #inbf to #anbfpro #jesustaketheweight and guide me as I add #powerlifting to‚Ä¶ https://t.co/UvBPsuEecE"
"61",0,"Domingo tb √© dia ! #fitcentersuplementos #powerfitacademia #powerlifting #muscula√ßao‚Ä¶ https://t.co/06BmpBYf1F"
"62",1,"RT @xIMxBURROWSx: Yes burrows lad your a good un,spoil that family of my with my Sunday dinner #powerlifting‚Ä¶ https://t.co/h0fFcfUWaN"
"63",0,"Bicep Workout For Muscle Mass 101 watch: https://t.co/CkvaVvpYRv #biceps #musclebuilding #weightlifing‚Ä¶ https://t.co/WuxihVcrIu"
"64",1,"Happy Sunday! kodiakcakes 
‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ #Powerlifting #Health #Fitfam #gym #Fitness‚Ä¶ https://t.co/pFnzuXecJl"
"65",1,"Yes burrows lad your a good un,spoil that family of my with my Sunday dinner #powerlifting‚Ä¶ https://t.co/h0fFcfUWaN"
"66",1,"#powerlifting #bodybuilding #gains #pr #squat #gym #gymlife #GymFlow #benchpress #chest #deadlift #tbt #motivation‚Ä¶ https://t.co/YoFnoWxuAE"
"67",1,"I'm so #proud to be a #coach and representative of the #SpecialOlympicsri.org #powerlifting team‚Ä¶ https://t.co/2Yg1mxh0kw"
"68",0,"Stop competing with others. Start competing with yourself.

#aboutgains #bodybuilding #powerlifting #mma‚Ä¶ https://t.co/whwSKxLN17"
"69",0,"HOME BRUNCH. THE ENTIRE PYRAMID Ì†ΩÌ¥∫
.
.
.
.
.
.
#nutrition #brunch #breakfast #diet #powerlifting‚Ä¶ https://t.co/rDnldJHeVp"
"70",0,"We have lots of #weightlifting &amp; #powerlifting going on in May - check out what you could get involved in here!‚Ä¶ https://t.co/xT8zHPYrHN"
"71",1,"Fortune favors the brave.

#bravery #motivation #fit #fitness #powerlifting https://t.co/1X29W9FtnG"
"72",0,"RT @StrengthForBB: Through blood, sweat and tears #gym #muscle #workout #bodybuilding #powerlifting https://t.co/ngVGUibodJ"
"73",0,"RT @StrengthForBB: Speed!  It's all about speed squat today...Oh, and heavy ass deadlift! #gym #bodybuilding #powerlifting #workout #deadli‚Ä¶"
"74",1,"RT @StrengthForBB: Looking good, however, I can't help but think it's because of the glasses! #gym #muscle #powerlifting #bodybuilding #gym‚Ä¶"
"75",0,"Contin√∫a Nacional de poder en Ensenada 
#MetaDeportiva #ElVig√≠aDeportes #Powerlifting #BenchPress 
https://t.co/aDfbJ88EFN"
"76",0,"My @strengthshop Riot Cage has arrived! Ì†ΩÌ∏ä Warming up with an easy 100kg x 5. My conditioning is really awful though‚Ä¶ https://t.co/9j5RYDMloV"
"77",0,"#back #biceps Ì†ΩÌ≤™Ì†ºÌøº Concentration curls 25lbs x 25 x 4 sets Ì†ΩÌ±ä I know it's not a #powerlifting move‚Ä¶ https://t.co/FvqwiYvpaL"
"78",0,"‰∫∫Èñì„Éá„ÉÉ„Éâ„É™„Éï„ÉàÔºÅ
„Åì„Çå„ÅØÁôΩÊóó3Êú¨„Åß„Åô„Åã„Å≠ÔºÅ

#powerlifting
#deadlift
#prowrestling 
#goldgym https://t.co/Uf3L3AV7ut"
"79",0,"Dando aquele confere no shape!
#powerbuilder #powerlifting #bodybuilding @ Valentim Gentil https://t.co/zl41H6PVVT"
"80",0,"#Powerlifting HOW TO SPOT A #SQUAT https://t.co/FIxuhm6fxH via @YouTube"
"81",0,"RT @StrengthForBB: Tunes...... #bodybuilding #powerlifting #gymlife #muscle #gym #fit https://t.co/wI9ixAUCpd"
"82",0,"#FolloForFolloBack #follo4follo #strongman #powerlifting #bodybuilding #crossfit #boxing #mma #motivation #fitness‚Ä¶ https://t.co/Yiyva3dPdQ"
"83",0,"Effects of 4¬†weeks of low-load #StrengthTraining #powerlifting #deadlift #girlswholift https://t.co/gJQulvgsOU https://t.co/3RlWWVs54t"
"84",0,"AI is finding a place in kung fu training - might strength training be next? https://t.co/wF4gwQU901

#lifting #strength #ai #powerlifting"
"85",0,"#strength #strongman #weightlifting #russianlifters #firstintheworld #worldrecord #powerlifting‚Ä¶ https://t.co/9pFd7Sn6gq"
"86",0,"Tunes...... #bodybuilding #powerlifting #gymlife #muscle #gym #fit https://t.co/wI9ixAUCpd"
"87",4,"A good solid ab workout helps so much with the squat and dealdift, well most exercises to be fair.  #bodybuilding‚Ä¶ https://t.co/m4NK9jyO7u"
"88",0,"diet vinegar
https://t.co/M31z8wEB09 #lifestyle #buenosdias #beardedgay #powerlifting #instagay https://t.co/ARCtnZpS7N"
"89",0,"#powerlifting #weightlifting #olympiclifting #deadlift #squat #benchpress #standingpress #trainingscience‚Ä¶ https://t.co/zY3xVvdoLc"
"90",1,"#gbluxeÌ†ºÌ∑¶Ì†ºÌ∑™  #champagne #passione #design #fashionicon #styl #luxury #bespoke #powerlifting‚Ä¶ https://t.co/JP3oT6UBDR"
"91",1,"Who all worked out today? What did you guys hit? Legs? Chest? Back? #fitness #gym #fatloss #bodybuilding #powerlifting"
"92",0,"fast weight loss vegetarian diet plan
https://t.co/3Zw5naSahW #domundo #fitmom #balcony #powerlifting https://t.co/Pnw6Oc9B7H"
"93",1,"RT @rgdaxter: I have tall friends....or am I just short? Ì†æÌ¥î 
#powerlifting #bodybuilding #fitfam #gym  #gains‚Ä¶ https://t.co/ZeB1qYhFBB"
"94",1,"RT @NebaSports: Best #GymChalk!
USE IN SPORTS: #Gym, #Athletic, #Lifting, #Crossfit, #PowerLifting, #Weightlifting ...

#Chalk #SportsChalk‚Ä¶"
"95",1,"I have tall friends....or am I just short? Ì†æÌ¥î 
#powerlifting #bodybuilding #fitfam #gym  #gains‚Ä¶ https://t.co/ZeB1qYhFBB"
"96",1,"Free informative #fitness and #nutrition articles at https://t.co/YPRtg5wqKQ #gym #blog #advice #fatloss #bodybuilding #powerlifting"
"97",-1,"Weights for weight loss? Girls &amp; #Powerlifting - #fitness #gym #girlswholift https://t.co/QwogV8S7Zj"
"98",1,"RT @athlete_union: #stronger #power #powerlifting #bodybuilding #gym #workout https://t.co/0YOCxTgKaO"
"99",-1,"Rest day, boring! By rest, will be cleaning, walking and other 'none training.' #gym #bodybuilding #powerlifting #gymlife #muscle #fit"
"100",0,"If you haven't already, you can check out our #instagram at https://t.co/m7VUBPxnNF #fitness #gym #fatloss #bodybuilding #powerlifting"
"101",0,"RT @secrethaberdash: NEW IN! One of a kind design on these #wristwraps, once they've gone...https://t.co/cq0cFEUpyZ #crossfit #powerlifting‚Ä¶"
"102",0,"NEW IN! One of a kind design on these #wristwraps, once they've gone...https://t.co/cq0cFEUpyZ #crossfit‚Ä¶ https://t.co/uiw51XXSKp"
"103",0,"Cheap, yet effective workout and diet plans at https://t.co/Oi6sZArwWv #fitness #fatloss #gym #bodybuilding #powerlifting"
"104",0,"https://t.co/sfAaYUxBpr

Folks, if you haven't already, check out this #powerlifting legend @andybolton1008 
I trained with him this year."
"105",0,"The #deadlift is one of the three #powerlifting exercises, along with the squat and bench press."
"106",0,"@Maxiscr Although in the #powerlifting world I am considered #tall for my weight class....Ì†ΩÌ∏Ç"
"107",0,"It's a #HandArmorNation Join the movement. #Chalk #Powerlifting #Crossfit #RockClimbing #Bouldering https://t.co/FPAktBz5Ot"
"108",-1,"That's how you know we working. Grind don't sleep. 10 weeks out  #Powerlifting"
"109",0,"#nabba #fitness #bodybuilding
#strong #npc #ukbff #aesthitics
#powerlifting #diet‚Ä¶ https://t.co/ibck41dcYs"
"110",0,"Sunday morning pump #nabba #fitness #bodybuilding
#strong #npc #ukbff #aesthitics
#powerlifting‚Ä¶ https://t.co/L9YyAnj4pW"
"111",0,"REVERSE HYPER 50% of squat max 10x10 #powerlifting #Att #Strengthcoach #darustrong https://t.co/9h0zSDCeu8"
"112",1,"#bodybuilding versus #powerlifting. What do you all think is better? #fitness #gym #weightloss #fatloss #fitfam #swole #lift"
"113",-2,"Body sore from lifting. Throat sore from screaming. Night. Ì†ΩÌ±ãÌ†ºÌøº#powerlifting"
"114",0,"Just watched a dude squat 410kg as his opening lift. #powerlifting #IPF"
"115",0,"RT @LiftoutStrength: @JustinGuinn10 hitting a pr on close grip with 315 #liftoutstrength #powerlifting #bench #squat #deadlift https://t.co‚Ä¶"
"116",2,"Got my sack in today! Ready to jump on the gain Ì†ΩÌ∫Ö. It's gonna be a great day in the gym. @maxeffortmuscle‚Ä¶ https://t.co/bJw71gVnoF"
"117",0,"HOW TO | Stationary Lunge #wisdomandweights #lunge #howto #powerlifting #bodybuilding #sports #NFLDraft #workout  https://t.co/qIj0VE78Z8"
"118",1,"Lifting heavy does the body good. Ì†ºÌºü#bodybuilding #fitness #fitchick #fitmom #powerlifting #powerbuilding https://t.co/zQBNtydThf"
"119",1,"My weight-lifting belt signed by the strongest human beings in Utah and the country #IPLWorldCup #FitCon2017‚Ä¶ https://t.co/mTlqERouMj"
"120",0,"@JustinGuinn10 hitting a pr on close grip with 315 #liftoutstrength #powerlifting #bench #squat #deadlift https://t.co/WBkwB37f6q"
"121",0,"8 of 9 for an 1155 total, taking 3rd in the 198 weight class. 

#powerlifting #benchpress #squat‚Ä¶ https://t.co/tCxJq8UPXc"
"122",0,"Squat...bench....deadlift....I love this shit! #lifter #powerlifter #powerlifting #liftheavy‚Ä¶ https://t.co/YxY3Qv48bZ"
"123",0,"It's just you versus the bar #deadlifts #powerlifting  #chucks https://t.co/d19Dl48nQR"
"124",0,"Lifter of the day: Nicole Wilkins #NicoleWilkins #womenthatlift #womenwholift #girlsthatlift #girlswholift‚Ä¶ https://t.co/8pat8IVakj"
"125",0,"RT @DaruStrong: A few for a couple Front Squats! #powerlifting #squatday #meetprep https://t.co/oOfV29uVHR"
"126",3,"First powerlifting meet outside of high school. Love seeing women of all ages cheer and encourage each other.‚Ä¶ https://t.co/H3po1G2EmV"
"127",1,"Succes aan de deelnemers van de #nabba #powerlifting #belgium. Doe dat goed!
 #nabbabelgium #benchpress #deadlift... https://t.co/VBDcgIJN5C"
"128",1,"@BigStrongFast Part 2/2 Whether or not ur able to follow back, I'm still a fan. I love the Slingshot! #powerlifting #WWE #bodybuilding #MMA"
"129",0,"My #trophies from #wabdl #powerlifting #meet today #benchpress #deadlift and #pushpull https://t.co/lGAqfnKNtt"
"130",0,"#ChallengeYourFitness #strongman #powerlifter #powerlifting #weightlifting #weighttraining‚Ä¶ https://t.co/9epEqzKzYN"
"131",1,"Top sets of the day: 
555 x2 
555 x1 
565 x1
405 2x6
315 2x12
225 2x15 
#Powerlifting‚Ä¶ https://t.co/GWJV6Hdlki"
"132",1,"The #spectacular sport of #powerlifting is #ageless!!! Join #365strongpowerliftingfederation,‚Ä¶ https://t.co/LQp4JJcKok"
"133",0,"#PowerLifting #BodyBuild #Muscle #Blog The Importance of Planting Seeds https://t.co/BoA9E5BOuH"
"134",0,"Its all in your head and you get to choose what stays their.

#weightlifting #powerlifting‚Ä¶ https://t.co/4ZQkftQWCK"
"135",0,"#TEAMBBK # GAZA 5K #chicity #chicago #motivation #diet #muscles #biceps #FITfAM #powerlifting‚Ä¶ https://t.co/DtDyP46F6J"
"136",1,"Today was a good day. 
‚Ä¢‚Ä¢
#fitfam #girlswholift #girlswithmuscle #girlswhopowerlift #powerlifting #bodybuilding... https://t.co/n2ywEyUquv"
"137",0,"""I dont know why you would want to lift single-ply, when there is multi-ply"" #powerlifting #deepthoughts"
"138",0,"Mind is everything! If you don't believe you can do something then you can't! -Kai Greene

#bodybuilding‚Ä¶ https://t.co/dtmpTMFS9z"
"139",0,"–ö–∞–π—Ñ—É—é –Ω–∞ —Ç—Ä–µ–Ω–∏—Ä–æ–≤–∫–µ –≤ —Å—É–±–±–æ—Ç—É Ì†ΩÌ∏ä

P.S. Thanks @maxlerofficial for T-Shirt Ì†ΩÌ≤™Ì†ΩÌ∞ªÌ†ΩÌ±ç

#powerlifting‚Ä¶ https://t.co/QokaMGIwRS"
"140",0,"20% off the new customer price, on all CPD courses until 5th May! Contact us to book #strength #conditioning‚Ä¶ https://t.co/gcyDUBXIbA"
"141",1,"Ì†ΩÌ≤™ #fitmom #fitness #bodybuilding #powerlifting #gains https://t.co/aWtQhJ6HMH"
"142",0,"In the shop for a tune up. #5weeks #powerlifting #acupuncture #optimumnutrition #highlevel‚Ä¶ https://t.co/DVwWwIWIrV"
"143",0,"#258: Strength Training for Runners: #StrengthTraining #powerlifting #deadlift #girlswholift https://t.co/FNcxUALQ5f https://t.co/JKSXKY9wOV"
"144",-1,"Lifting in and shooting the @EmpireMuscleGym power lifting competition today! It's a weird mix of responsibilities. #yqg #powerlifting #gym"
"145",1,"The Candylady with 2 Board Press AMRAP hitting a good 8 reps with 185lbs. #powerlifting‚Ä¶ https://t.co/bUNz9qEE0Q"
"146",1,"Strength Training Software Free #StrengthTraining #powerlifting #deadlift #girlswholift https://t.co/KNDshmo9Jm https://t.co/wLWMvkbMsb"
"147",0,"Not everything is about the gym.
.
.
#powerlifting #nutrition #gym #fitness #lifestyle‚Ä¶ https://t.co/bEj0E0UJTS"
"148",2,"1000 subs giveaway in my next video! Subscribe and you could win! https://t.co/dVFEga9Oc2 #Powerlifting #bodybuilding #fitfam #fitness #like"
"149",0,"4 Easy Ways to Fix Shoulder Pain | T Nation
https://t.co/fNbkRhc9LV
#bodybuilding #powerlifting https://t.co/YXFPavywnP"
"150",1,"365 STRONG CHARLOTTE EUROPA GAMES HIGHLIGHTS
https://t.co/4Kgici16qJ #powerlifting #powerliftingwatch"
"151",1,"Revolution Powerlifting Syndicate introduces AAI‚Ä¶ Adaptive Athletes Initiative. https://t.co/UEaBmI0qJP #powerlifting #powerliftingwatch"
"152",0,"Shannon Nash, Women's All Time World Record Raw Bench.
https://t.co/qzBAhWXwcl
#powerlifting #powerliftingwatch"
"153",1,"Reward your #Gainz with BEAST'N  new #gym gear
‚ÜôÔ∏è
https://t.co/vhpD0W1fVs

#workout #bodybuilding #weightlifting‚Ä¶ https://t.co/mra8ga6kZj"
"154",1,"Free 2-Day Online Course! https://t.co/eyScxWJXpW | #powerlifting #powerlifter #weightlifting #weightlifter‚Ä¶ https://t.co/xG8KzkAOXa"
"155",0,"A few for a couple Front Squats! #powerlifting #squatday #meetprep https://t.co/oOfV29uVHR"
"156",0,"Demostrar√°n su poder en Nacional
#MetaDeportiva #ElVig√≠aDeportes #Powerlifting #BenchPress #Pesas
https://t.co/BdQgoXLZFo"
"157",1,"fenixstrongdotcom representing today at @wcfit 
A lot of Strong Lifters here!
#powerlifting‚Ä¶ https://t.co/T7SkRiSFRr"
"158",0,"USAPL Ca State Championships. Rules briefing in 5 min. Ì†ΩÌ∏äÌ†ΩÌ≤™Ì†ºÌøΩ #usapl #ca #powerlifting‚Ä¶ https://t.co/fwzU71qDU9"
"159",0,"Session done now a walk round the park while PDinky practices her bike. #gym #bodybuilding #cardio #gymlife #muscle #powerlifting #walk"
"160",0,"Concentrating during standing dumbbell shoulder pressesÌ†ΩÌ≤™Ì†ΩÌ∏Ö #frankyvdberg #buffdudes #weightloss #bodybuilding‚Ä¶ https://t.co/4lryvVCtUW"
"161",1,"RT @TippFMSport: @Patricia_Gym the world champion is in studio with coach Kevin   &amp; Davin, Sarah and @StephenGtippfm #Powerlifting https://‚Ä¶"
"162",-1,"RT @HeidiKatrinaa: Once a freak, always a freak Ì†ΩÌ∏ú
#HeidiKatrina #„Éè„Ç§„Ç∏„Ç´„Éà„É™„Éº„Éä #Gains #Bodybuilding #Weightlifting #Powerlifting #Aesthetics #To‚Ä¶"
"163",0,"Starting training on Monday! #USAPL #powerlifting"
"164",1,"#deadlifts in prep for the #WSA #powerlifting #championships 

It's getting tough now, as‚Ä¶ https://t.co/DjzD6OlgsP"
"165",1,"@Patricia_Gym the world champion is in studio with coach Kevin   &amp; Davin, Sarah and @StephenGtippfm #Powerlifting https://t.co/vlkMhPa5zY"
"166",0,"RT @AnnasKingKhan: Deadlifting after 5 weeks!

#fitfam #bodybuilding #powerlifting #mississauga #persistence https://t.co/aS1VDckOps"
"167",0,"Deadlifting after 5 weeks!

#fitfam #bodybuilding #powerlifting #mississauga #persistence https://t.co/aS1VDckOps"
"168",0,"RT @MuscleGear: Your jeans &amp; tshirt.....TSHIRT 
Navy #gym #muscle tee

https://t.co/vhpD0W1fVs

#workout #powerlifting #CrossFit #npc #fitf‚Ä¶"
"169",0,"RT @MuscleGear: Got enuf blk #gym tees?

https://t.co/vhpD0W1fVs
#workout #powerlifting #strength #fitfam #CrossFit #npc #weightlifting #bo‚Ä¶"
"170",0,"RT @brockcookOT: Squats on squats on #squats! Currently prepping for 2 comps in July. Cairns and Perth #powerlifting https://t.co/eUEqtdAMV6"
"171",0,"#findelargo #cjs #Gracias #Powerlifting #record https://t.co/xZ4LGCfteP"
"172",1,"Ì†ΩÌ≤•Ì†ΩÌ≤™Ì†ΩÌ≤™Ì†ΩÌ≤™Ì†ΩÌ≤•Saturday Motivation!Ì†ΩÌ≤¢Ì†ΩÌ±äÌ†ΩÌ≤¢#ruckdog #inspiration #motivation #powerlifting #powerbuilding #bodybuilding‚Ä¶ https://t.co/07Mhy9R5XJ"
"173",0,"Bank Holiday Special - All Belts Reduced!
 No code necessary, IPF approved.
 https://t.co/yfiX6xIz9X
 #powerlifting‚Ä¶ https://t.co/zY8nKLvwMM"
"174",0,"RT @CONADE: #RioXCONADE Catalina D√≠az cosech√≥ la 2a medalla Ì†ºÌøÖ de Ì†ºÌ∑≤Ì†ºÌ∑Ω, en el #D√≠a6 de acci√≥n de #Rio2016 #Powerlifting https://t.co/r60x90YKLn"
"175",1,"No rest day, shoulder press, speed bench, pull downs, rear delt and all the other bench assistance work. #gym #bodybuilding #powerlifting"
"176",0,"Meet day. Let's do this.

#bodybuilding #powerlifting #motivation #fitness #barbellmafia‚Ä¶ https://t.co/DSVAHLCTrw"
"177",-1,"If you train hard you know what I'm talking about. 

#bodybuilding #powerlifting #weightlifting‚Ä¶ https://t.co/5PzB9ETaPq"
"178",0,"Leggooo! Hyped to step up on the platform Sunday Ì†ΩÌ∏ÅÌ†ΩÌ∏ÅÌ†ΩÌ∏Å #powerlifting #usapl #castatechamps #ilikered https://t.co/tr0oVqgV9O"
"179",0,"My alter ego made me post it . #swear #powerlifting #wdfpf https://t.co/hIqhhJAmhB"
